Features,Labels
"[167.0, 142.01408380861386, 237.0, 111.5212984142491, 160.0781059358212, 87.05170877128145, 46.04345773288535, 70.82099197418928, 50.45755348510459, 274.0649473077427]",oblong
"[168.00297616411441, 155.00322577288512, 223.0, 109.65856099730654, 146.03081866510234, 74.00675644831355, 39.0, 62.24145939893998, 43.1523897340054, 283.31101916886723]",oblong
"[160.0781059358212, 144.03124660989366, 230.0, 106.96261028976434, 144.01388821915754, 71.17583859709698, 37.05401462729781, 70.25316339457389, 48.41094495535572, 279.46475380754515]",oblong
"[163.01226947687098, 141.00354605470034, 229.0, 108.07404868885037, 150.16324450410627, 74.10802925459562, 39.01281840626232, 68.96248897457819, 51.00900595749452, 277.99352149363983]",oblong
"[160.00312496948303, 140.03213916812098, 225.0, 98.71676655968832, 144.05554484295286, 80.02499609497022, 43.0, 64.05770451012833, 39.65694424142484, 284.0362434679265]",oblong
"[169.01183390520322, 152.029602380589, 238.0, 111.73182178770737, 153.0130713370593, 84.09518416651456, 43.01162633521314, 71.17528998175993, 45.72522429905925, 276.581944655178]",oblong
"[168.01190434013895, 147.0136048126159, 239.0, 108.30050784737807, 154.02921800749363, 87.02298546935747, 46.010868281309364, 70.01689347810002, 47.61954879539468, 278.388152209653]",oblong
"[174.1034175425629, 145.00344823486094, 241.0, 111.39569111954016, 156.259399717265, 83.21658488546619, 42.1070065428546, 71.96571443287014, 49.73343833057548, 280.73662562217555]",oblong
"[158.00316452527144, 147.0136048126159, 219.0, 105.41821474489122, 140.05713120009278, 73.0, 38.01315561749642, 65.22485943116808, 46.921955958931434, 281.5059336036239]",oblong
"[179.0, 148.12157169028418, 256.0, 112.8716084761797, 164.87874332369228, 81.58431221748455, 43.56604182158393, 44.09061955080086, 29.744881296942214, 288.50706430342166]",oblong
"[169.04733065032408, 142.01408380861386, 226.0, 112.6809655620682, 150.56227947264878, 74.54528824815154, 38.118237105091836, 75.96375653207352, 58.42580924971468, 283.4330801301507]",oblong
"[163.07666908543356, 137.03284277865654, 243.0, 109.20164833920778, 151.47607071745688, 84.29116205154607, 44.04543109109048, 59.47029410006588, 37.184706453233126, 283.5445467648682]",oblong
"[163.07666908543356, 136.0588108135596, 226.0, 96.33275663033837, 152.21038072352357, 80.02499609497022, 40.0, 64.72227776444704, 41.633539336570195, 280.6918450981745]",oblong
"[148.08443537387717, 137.03284277865654, 214.0, 95.46203433826454, 128.2497563350512, 67.1863081289633, 33.13608305156178, 68.19859051364818, 45.42440541936147, 282.7834539414244]",oblong
"[159.0125781188394, 137.00364958642524, 228.0, 103.96634070698074, 146.01369798755184, 75.05997601918082, 40.0, 64.6538240580533, 46.169139327907416, 280.4122525803593]",oblong
"[175.0028571195339, 143.0, 242.0, 118.3427226321923, 161.25135658344087, 82.21921916437786, 43.104524124504614, 68.8752808539275, 48.76852970913538, 277.04143394354793]",oblong
"[171.04677722775136, 145.0, 227.0, 95.42536350467836, 150.4027925272666, 79.1012010022604, 43.01162633521314, 62.78388844269252, 38.19094982038659, 291.74909020929334]",oblong
"[168.02678357928536, 141.0319112825179, 238.0, 99.98499887483122, 152.55490814785344, 75.8023746329889, 40.44749683231337, 48.23970029610213, 30.668926649714923, 283.41802778637725]",oblong
"[161.00310556011024, 137.01459776242822, 226.0, 106.77546534667971, 149.0, 74.00675644831355, 38.0, 64.02560603756868, 45.379436701418975, 277.76516601842536]",oblong
"[161.25135658344087, 144.00347218036097, 241.0, 108.07404868885037, 148.33745312630927, 79.1012010022604, 41.012193308819754, 61.07357416474639, 38.99099404250547, 281.1709113341036]",oblong
"[173.0, 154.0, 224.0, 114.02192771568107, 153.00326793895613, 81.00617260431454, 44.0, 62.87869659584134, 41.80046029043743, 281.41892875251784]",oblong
"[170.0470523119998, 144.01388821915754, 234.0, 112.60994627474076, 151.0529708413575, 88.02272433866155, 49.01020301937138, 65.55604521958347, 41.760299703897864, 283.2064507772295]",oblong
"[169.00295855398508, 142.01408380861386, 237.0, 113.89907813498755, 157.01273833673497, 81.09870529176159, 43.04648650006177, 65.13630342824813, 46.77880031567385, 282.6099248510565]",oblong
"[169.01183390520322, 147.0, 229.0, 97.59098319004681, 152.0131573252789, 85.05292469985967, 45.044422518220834, 68.19859051364818, 44.169684513741984, 281.0210064142364]",oblong
"[161.01242188104618, 140.05713120009278, 238.0, 103.96634070698074, 148.00337833982033, 78.0, 40.0, 64.6538240580533, 43.83086067209258, 279.12654758767655]",oblong
"[170.00294115102832, 148.0, 248.0, 116.77756633874505, 154.0811474515945, 85.05292469985967, 45.0, 68.62937773065681, 47.42927332349996, 278.38295755227807]",oblong
"[167.0269439342048, 141.05672617780408, 234.0, 105.4229576515476, 147.08500943332058, 73.24616030891995, 40.11234224026316, 55.12467165539782, 38.065651098730434, 288.36628416540054]",oblong
"[154.00324671902212, 136.0036764208968, 225.0, 101.83319694480774, 146.0, 76.02631123499285, 41.012193308819754, 62.24145939893998, 45.79572355273927, 277.7531618745588]",oblong
"[157.01273833673497, 140.0142849854971, 234.0, 103.32473082471591, 146.08559134972896, 76.10519036176179, 39.01281840626232, 68.96248897457819, 47.3532968661083, 277.95488644925064]",oblong
"[177.341478509682, 146.0, 254.0, 107.44766167767449, 162.3730273167314, 88.20430828479978, 47.042533945356304, 75.96375653207352, 51.42347043655657, 277.73057831104353]",oblong
"[157.0286598045083, 142.0, 250.0, 115.10864433221339, 141.50971698084905, 81.39410298049853, 44.10215414239989, 74.21924669048461, 50.64054943215682, 280.4630306646189]",oblong
"[166.00301202086666, 147.0136048126159, 236.0, 107.81465577554843, 152.0526224699857, 80.05623023850174, 44.0, 59.93141717813754, 40.486011541998735, 281.1423918268862]",oblong
"[170.35551062410633, 142.00352108310554, 246.0, 113.46365056704283, 160.61133210331082, 89.45389874119518, 46.2709412050371, 78.46537934635528, 55.04934858812487, 277.6582909707459]",oblong
"[173.1415605797753, 145.00344823486094, 243.0, 112.6454615153225, 161.31026005806325, 88.36288813749809, 46.2709412050371, 78.23171106797936, 54.757963441347805, 276.34766556334074]",oblong
"[166.0, 146.00342461736986, 232.0, 109.01834707974616, 149.01342221424215, 78.02563681252464, 42.01190307520001, 58.57043438516149, 37.92107839538777, 280.23308255042247]",oblong
"[159.00314462299164, 149.08386901338454, 235.0, 104.35037134576953, 143.0873858870865, 74.33034373659252, 38.2099463490856, 74.24882633654697, 50.053826050064366, 287.6814202867932]",oblong
"[163.01226947687098, 141.0319112825179, 234.0, 103.32473082471591, 148.03040228277433, 81.05553651663777, 43.01162633521314, 71.1468412355809, 47.3532968661083, 278.34631181661837]",oblong
"[173.0115603073968, 152.0, 243.0, 113.21660655575224, 158.02847844613325, 81.00617260431454, 43.01162633521314, 66.29735404903376, 47.147585428298505, 280.73293574547574]",oblong
"[204.15680248279753, 155.05160431288675, 258.0, 117.44360348695028, 185.9731163367437, 86.83317338436964, 45.17742799230607, 55.22216863363612, 38.431235878178875, 287.305242616737]",oblong
"[169.00295855398508, 148.0, 229.0, 115.27792503337315, 151.0132444522665, 78.02563681252464, 41.048751503547585, 65.13630342824813, 46.05440450352184, 281.4124191013988]",oblong
"[147.00340132119393, 131.03434664239754, 227.0, 94.11163583744573, 129.00387591076478, 69.00724599634447, 36.013886210738214, 65.43282867939868, 42.847037210899536, 282.9832491457162]",oblong
"[173.02600960549256, 146.05478424207814, 247.0, 116.84605256490268, 158.00316452527144, 83.02409288875127, 46.04345773288535, 60.70863782901574, 41.87786953788429, 281.22942054134745]",oblong
"[157.05094714773293, 144.01388821915754, 231.0, 99.90495483208028, 139.00359707575916, 72.0, 38.01315561749642, 62.78388844269252, 41.34777721969367, 284.41787045870996]",oblong
"[166.0752841334315, 148.05404418657398, 231.0, 105.60303025955268, 148.16544806398016, 80.15609770940699, 43.104524124504614, 72.80145877993414, 52.69605172201657, 285.48904473170376]",oblong
"[155.05160431288675, 150.05332385522155, 227.0, 102.59142264341595, 143.0, 78.23042886243178, 42.190046219457976, 69.44395478041653, 46.974934010881974, 281.068744929696]",oblong
"[169.01183390520322, 143.0034964607509, 238.0, 113.86395390991831, 152.0131573252789, 81.09870529176159, 43.04648650006177, 69.59011716619602, 46.06749968374021, 278.74616226255523]",oblong
"[162.01234520862909, 147.0, 225.0, 106.15083607772479, 142.03168660548954, 79.00632886041473, 42.04759208325728, 64.02560603756868, 42.709389957361466, 283.2921842650378]",oblong
"[177.0, 144.08677940741129, 246.0, 125.60254774486066, 165.19382555047267, 85.37564055396598, 46.04345773288535, 71.91655461695134, 52.76516601842533, 277.4061544816555]",oblong
"[179.00279327429502, 146.05478424207814, 256.0, 127.61269529321916, 165.24527224704494, 80.30566605165541, 44.04543109109048, 69.71744091108339, 52.32190828697371, 281.0421077425169]",oblong
"[166.01204775557707, 150.0133327407934, 233.0, 103.23759005323593, 146.05478424207814, 81.05553651663777, 42.01190307520001, 71.1468412355809, 45.0, 278.7230628526178]",oblong
"[169.14490828872147, 146.03081866510234, 234.0, 110.45361017187261, 150.16324450410627, 81.05553651663777, 43.01162633521314, 65.13630342824813, 42.06432655357882, 284.7698665951338]",oblong
"[157.0, 142.03168660548954, 233.0, 102.7277956543408, 144.00347218036097, 78.00640999302557, 42.01190307520001, 62.24145939893998, 41.448266645179594, 280.7842978675626]",oblong
"[168.1071087134628, 145.2205219657332, 230.0, 117.6860229593982, 151.0529708413575, 76.32168761236873, 42.190046219457976, 67.28558764683275, 49.134671373736424, 279.4623222080256]",oblong
"[156.00320509528, 146.00342461736986, 237.0, 110.39021695784459, 142.0563268566381, 76.23647421018367, 41.10960958218893, 69.14554196042165, 47.202598161765806, 281.6585032271116]",oblong
"[164.01219466856725, 141.1736519326464, 240.0, 112.53888216967503, 156.11534197509224, 87.09190547921202, 47.042533945356304, 68.19859051364818, 47.52082790771017, 276.0082031245394]",oblong
"[171.04677722775136, 146.01369798755184, 243.0, 114.97825881443848, 161.4465855941215, 79.63039620647382, 42.190046219457976, 71.96571443287014, 49.9392155421262, 275.7167659213061]",oblong
"[167.0029939851379, 146.0, 232.0, 102.55242561733974, 151.00331122197287, 82.00609733428362, 43.01162633521314, 65.22485943116808, 43.814739181377604, 280.66519253215324]",oblong
"[166.04818577750254, 140.12851244482687, 233.0, 97.41663102366043, 151.5585695366646, 79.30952023559341, 42.1070065428546, 60.068488159492205, 35.81116392264124, 287.2177673046412]",oblong
"[154.0, 139.05754204644924, 230.0, 104.35037134576953, 145.08618128546908, 75.23961722390672, 40.049968789001575, 55.56101069119639, 39.946173949935634, 276.20935671358353]",oblong
"[173.0028901492689, 144.01388821915754, 234.0, 109.34349546269316, 156.05127362504928, 85.05292469985967, 44.04543109109048, 71.17528998175993, 50.19442890773481, 278.3915825378389]",oblong
"[169.04733065032408, 148.03040228277433, 242.0, 112.53888216967503, 159.02829936838285, 83.00602387778854, 45.0111097397076, 62.87869659584134, 42.47917209228982, 280.47899351037364]",oblong
"[165.01212076693034, 146.03081866510234, 228.0, 102.6498904042279, 151.02979838429235, 82.02438661763951, 41.012193308819754, 70.3461759419467, 47.763857370912554, 276.3297018559661]",oblong
"[170.0, 144.0, 232.0, 111.72287142747452, 150.05332385522155, 74.16872656315464, 38.118237105091836, 65.22485943116808, 45.0, 282.97533177766223]",oblong
"[147.00340132119393, 137.01459776242822, 220.0, 96.42613753542138, 129.0620006043607, 69.1158447825099, 38.01315561749642, 72.03086025984298, 49.205357001708585, 282.3890865241419]",oblong
"[163.01226947687098, 143.0034964607509, 229.0, 108.30050784737807, 152.0, 78.0, 41.012193308819754, 61.07357416474639, 42.38045120460532, 276.76008001317115]",oblong
"[167.0029939851379, 141.0319112825179, 231.0, 94.40338976964757, 150.33296378372907, 81.2219182240853, 41.048751503547585, 62.10272896905237, 36.384351815835885, 285.82615407617254]",oblong
"[167.2423391369542, 142.01408380861386, 239.0, 110.75197515168747, 153.46986674914396, 81.39410298049853, 44.181444068749045, 72.34987578006988, 50.12819104185284, 277.7776378901293]",oblong
"[163.04907236779974, 146.12323566086263, 228.0, 106.10372283760829, 149.08386901338454, 76.05918747922567, 40.049968789001575, 59.93141717813754, 43.47247455778707, 282.22539715968475]",oblong
"[170.01176429882727, 147.0, 240.0, 111.75866856758807, 153.00326793895613, 82.00609733428362, 44.0, 66.80140948635182, 46.450216290933426, 276.76914651827997]",oblong
"[164.00304875214974, 148.0, 236.0, 104.06248123122954, 146.03081866510234, 75.05997601918082, 39.05124837953327, 71.56505117707799, 47.72631099390626, 279.09027692082236]",oblong
"[165.01212076693034, 143.01398533010678, 232.0, 108.30050784737807, 146.00342461736986, 76.02631123499285, 39.01281840626232, 67.47943439710312, 47.61954879539468, 284.6208739886317]",oblong
"[169.01183390520322, 147.0136048126159, 238.0, 105.47511554864494, 151.0132444522665, 84.02380615040002, 43.04648650006177, 70.76932762433871, 47.689770323150476, 280.58647056560204]",oblong
"[170.0470523119998, 144.00347218036097, 233.0, 111.73182178770737, 157.0, 83.00602387778854, 44.0, 66.80140948635182, 45.72522429905925, 277.1250163489018]",oblong
"[174.28711943227475, 148.16544806398016, 239.0, 123.0447073221762, 156.01281998605114, 80.05623023850174, 42.01190307520001, 66.03751102542181, 45.6585431775636, 278.6519753082191]",oblong
"[171.0263137648707, 149.01342221424215, 244.0, 112.44998888394787, 148.21605850919124, 78.31347265956222, 43.104524124504614, 68.68208772453845, 46.08092418666068, 286.31385242626055]",oblong
"[173.0028901492689, 155.00322577288512, 233.0, 105.41821474489122, 151.00331122197287, 75.05997601918082, 39.11521443121589, 60.94539590092286, 43.078044041068566, 282.80426606528675]",oblong
"[166.00301202086666, 142.01408380861386, 228.0, 98.40731680114035, 153.20900756809309, 78.23042886243178, 41.048751503547585, 57.52880770915151, 37.56859202882749, 290.350957909453]",oblong
"[152.029602380589, 137.00364958642524, 211.0, 97.67292357659824, 132.015150645674, 67.00746227100382, 35.014282800023196, 62.10272896905237, 42.51044707800084, 282.1168619291226]",oblong
"[175.07141400011596, 145.00344823486094, 238.0, 121.82774724995944, 160.44936896105264, 88.45903006477066, 46.17358552246078, 73.30075576600638, 54.35297925009325, 276.3639659269161]",oblong
"[152.08221460775746, 141.00354605470034, 228.0, 99.24716620639605, 140.0142849854971, 78.05767098754612, 41.012193308819754, 61.606980578617005, 40.91438322002512, 271.14613852110625]",oblong
"[168.07438829280326, 147.05441169852742, 231.0, 106.60675400742676, 151.33076356114773, 82.29823813423954, 43.104524124504614, 75.96375653207352, 53.77505574447967, 284.8054686151567]",oblong
"[172.00290695217916, 137.13132391981054, 234.0, 121.03718436910205, 163.3064603743526, 80.50465825031493, 43.18564576337837, 69.30454926593673, 51.70983680775693, 277.41394240868556]",oblong
"[170.0, 151.02979838429235, 246.0, 119.6703806294607, 154.0811474515945, 84.0535543567314, 45.0111097397076, 67.98871680208063, 48.048374940298295, 278.038842894011]",oblong
"[167.14664220378464, 145.00344823486094, 235.0, 104.89041900955492, 150.26975743641833, 76.16429609731846, 38.05259518088089, 71.56505117707799, 48.86546116985175, 279.40236850178064]",oblong
"[175.04570831642803, 154.01298646542764, 235.0, 119.09659944767525, 160.0124995117569, 86.02325267042627, 46.010868281309364, 69.71744091108339, 49.08561677997487, 279.4623222080256]",oblong
"[166.04818577750254, 150.00333329629711, 224.0, 108.97706180660222, 145.0551619212498, 74.02702209328699, 40.01249804748511, 61.606980578617005, 42.76882539196875, 286.08967470301747]",oblong
"[170.01176429882727, 139.01438774457844, 236.0, 115.36463929644994, 157.01273833673497, 80.09993757800315, 41.012193308819754, 67.96377305985455, 47.45904399010462, 277.1250163489018]",oblong
"[169.0, 146.00342461736986, 243.0, 109.71326264403953, 155.0129026887762, 87.09190547921202, 47.042533945356304, 72.71850162818336, 47.58579434242449, 278.73660376157585]",oblong
"[167.01197561851666, 144.08677940741129, 235.0, 111.66467659918243, 152.26621424334422, 78.40918313565064, 41.19465984809196, 73.53998518795997, 51.17992424918311, 274.792034046932]",oblong
"[177.22866585290316, 143.05593311708537, 257.0, 120.61509026651682, 162.4438364481706, 83.38465086573187, 42.190046219457976, 71.56505117707799, 49.707852244372226, 279.31399461888606]",oblong
"[169.01183390520322, 141.0, 227.0, 103.47946656221224, 152.029602380589, 83.02409288875127, 42.04759208325728, 71.96571443287014, 48.91824886406737, 279.2306764703934]",oblong
"[178.0, 148.16544806398016, 240.0, 127.41271522104849, 162.4438364481706, 87.69264507357501, 46.17358552246078, 77.24246783912332, 53.93956500315152, 278.97941360604125]",oblong
"[168.00297616411441, 147.03060905811415, 222.0, 93.38094023943002, 152.0131573252789, 88.0056816347672, 46.0, 73.68614757373945, 46.735704588928385, 283.3924977537511]",oblong
"[156.05127362504928, 141.00354605470034, 228.0, 96.17692030835673, 139.0323703315167, 70.00714249274856, 36.013886210738214, 68.19859051364818, 45.84252426074041, 281.6585032271116]",oblong
"[176.0454486773231, 149.0, 248.0, 109.12378292562992, 159.20113064925135, 90.13878188659973, 47.042533945356304, 66.16125981682826, 41.28471089457123, 281.9112154319716]",oblong
"[159.0, 136.0036764208968, 232.0, 104.80458005259122, 146.01369798755184, 76.05918747922567, 40.01249804748511, 60.42216131873867, 41.90594194108289, 280.67689175596934]",oblong
"[174.04597093871493, 150.00333329629711, 245.0, 118.84864324004712, 157.3848785620779, 84.38009243891595, 44.10215414239989, 72.2995722113328, 51.49077163447568, 275.98705460393495]",oblong
"[176.47946056127893, 143.0034964607509, 238.0, 98.73702446397704, 164.10362579784763, 83.60023923410746, 43.289721643826724, 55.12467165539782, 33.8510103035582, 283.8453112798929]",oblong
"[168.24089871371942, 147.00340132119393, 236.0, 109.63576058932597, 153.63918770938616, 80.30566605165541, 40.049968789001575, 73.53998518795997, 51.666659890901364, 274.85388212176355]",oblong
"[163.01226947687098, 143.0034964607509, 231.0, 102.59142264341595, 148.00337833982033, 81.00617260431454, 42.0, 65.22485943116808, 43.02506598911802, 277.02590666301745]",oblong
"[172.04650534085255, 145.03103116229988, 245.0, 117.15374513859982, 158.61904047118682, 83.86298349093002, 45.17742799230607, 71.56505117707799, 50.19442890773481, 273.2180612837942]",oblong
"[163.00306745579974, 143.0, 234.0, 106.30145812734649, 144.22205101855957, 77.31752712031083, 41.10960958218893, 71.56505117707799, 48.81407483429035, 279.9086895932751]",oblong
"[168.04761230080004, 148.0135128966271, 237.0, 99.82484660644363, 155.15798400340216, 83.15046602394962, 44.10215414239989, 65.89776549883887, 42.15786211634433, 277.31552530439626]",oblong
"[160.0124995117569, 143.0034964607509, 240.0, 109.98636279102969, 145.2205219657332, 76.16429609731846, 40.01249804748511, 70.3461759419467, 49.7942320666306, 277.5926891818048]",oblong
"[176.28386199536246, 148.00337833982033, 248.0, 120.0, 158.14550262337528, 83.02409288875127, 42.42640687119285, 76.82744657667311, 53.13010235415598, 277.4266424567933]",oblong
"[166.01204775557707, 138.0, 238.0, 108.18964830333815, 160.0124995117569, 82.00609733428362, 43.01162633521314, 62.850318302216834, 45.374476886722825, 274.14002440421297]",oblong
"[182.00274723201295, 154.0811474515945, 236.0, 124.4025723206719, 170.07351351694948, 88.14193099768123, 45.0111097397076, 74.05460409907714, 53.49855887949368, 278.1192549897432]",oblong
"[177.1383639983163, 154.02921800749363, 233.0, 123.1665539016173, 160.00312496948303, 82.15229759416349, 44.04543109109048, 67.10944834375167, 47.63243486898648, 281.89652410698915]",oblong
"[170.01176429882727, 150.00333329629711, 239.0, 112.16059914247963, 154.0519392932137, 84.02380615040002, 45.0111097397076, 61.18920625702693, 39.936383146969916, 283.32568541815664]",oblong
"[167.01197561851666, 147.0136048126159, 241.0, 116.01724009818541, 149.56603892595405, 80.89499366462674, 42.42640687119285, 77.98852161363456, 54.117862753795784, 277.97064910462143]",oblong
"[191.09421759959145, 144.22205101855957, 247.0, 135.83077707206124, 175.1456536714514, 84.72307831990054, 43.56604182158393, 79.11447294534126, 59.47029410006588, 281.6409269404149]",oblong
"[167.0269439342048, 143.01398533010678, 234.0, 104.35037134576953, 155.15798400340216, 87.28115489611719, 47.095647357266465, 61.18920625702693, 39.946173949935634, 279.5439663340992]",oblong
"[164.1097193952875, 146.01369798755184, 234.0, 109.22453936730518, 146.12323566086263, 81.05553651663777, 44.01136216933077, 62.300527191945, 40.54439716667368, 282.45160128550884]",oblong
"[171.23667831396403, 140.05713120009278, 233.0, 92.65527507918802, 156.71949463930773, 85.47514258543241, 44.181444068749045, 61.38954033403478, 34.89070150750482, 284.94394016127524]",oblong
"[169.23947530053383, 151.00331122197287, 232.0, 107.62899237658968, 154.46682491719702, 83.2946576918352, 44.10215414239989, 62.300527191945, 41.98721249581666, 281.364304243403]",oblong
"[161.0, 138.00362314084367, 223.0, 98.99494936611666, 146.01369798755184, 73.06161783043132, 36.05551275463989, 61.50436138175502, 45.0, 281.15877475428545]",oblong
"[167.0029939851379, 143.01398533010678, 234.0, 107.5174404457249, 152.00328943809077, 80.00624975587844, 41.0, 67.47943439710312, 46.50743575877497, 275.48430531324385]",oblong
"[167.0478973228936, 147.0, 234.0, 102.9417310909429, 152.16109883935513, 84.1486779456457, 43.04648650006177, 75.96375653207352, 50.12316553712815, 275.32385583317944]",oblong
"[168.01190434013895, 147.0136048126159, 239.0, 106.83164325236227, 158.01265772082945, 87.0, 45.0, 67.28558764683275, 46.89651830320929, 279.16711256010086]",oblong
"[148.00337833982033, 143.0034964607509, 236.0, 96.93812459502195, 129.0, 70.00714249274856, 37.013511046643494, 66.03751102542181, 42.90984084628931, 285.94539590092285]",oblong
"[163.00306745579974, 145.0, 228.0, 105.38026380684383, 147.0, 80.00624975587844, 44.01136216933077, 64.59228189105153, 43.84654954889463, 279.8658069430844]",oblong
"[155.00322577288512, 140.0142849854971, 232.0, 101.41498903022176, 136.03308421115798, 74.06078584514209, 38.01315561749642, 64.05770451012833, 40.601294645004465, 281.0950829711952]",oblong
"[171.011695506477, 146.08559134972896, 240.0, 113.17243480636087, 154.02921800749363, 81.00617260431454, 42.01190307520001, 63.99665415548856, 43.56790381583535, 278.38729649808676]",oblong
"[170.0, 146.00342461736986, 242.0, 106.7941945987702, 156.01281998605114, 79.00632886041473, 41.012193308819754, 65.89776549883887, 43.86182299251181, 280.21304984017013]",oblong
"[158.01265772082945, 134.00373129133382, 228.0, 108.89444430272832, 142.0, 73.02739212103907, 38.01315561749642, 65.77225468204583, 45.0, 277.8108446725915]",oblong
"[164.1097193952875, 142.00352108310554, 222.0, 114.47707194019246, 145.08618128546908, 68.18357573492314, 36.05551275463989, 69.90476880809518, 51.02753029552126, 285.89985864492473]",oblong
"[165.0272704737008, 142.0, 221.0, 106.7941945987702, 149.01342221424215, 73.02739212103907, 38.01315561749642, 59.74356283647073, 43.86182299251181, 278.5260985630255]",oblong
"[171.011695506477, 151.0132444522665, 237.0, 105.64563407921787, 151.00331122197287, 85.0, 43.0, 66.29735404903376, 40.77776979385731, 279.10864904877917]",oblong
"[166.0752841334315, 142.00352108310554, 232.0, 99.90495483208028, 153.16004700965587, 81.09870529176159, 42.04759208325728, 62.17590361574674, 41.34777721969367, 282.4524318970645]",oblong
"[164.0, 143.01398533010678, 234.0, 110.3177229641729, 149.01342221424215, 82.0, 43.01162633521314, 65.65891006330749, 44.26547896574518, 277.06176290932547]",oblong
"[156.01281998605114, 141.0, 223.0, 104.65180361560904, 146.00342461736986, 78.05767098754612, 41.012193308819754, 68.19859051364818, 45.0, 275.72858085237885]",oblong
"[179.00279327429502, 156.00320509528, 236.0, 111.19802156513397, 164.0, 85.00588214941364, 46.0, 62.300527191945, 41.719119227390586, 279.532695699163]",oblong
"[161.01242188104618, 139.00359707575916, 234.0, 106.88779163215975, 147.05441169852742, 77.05841939723393, 40.01249804748511, 68.68208772453845, 47.65419551340662, 278.7497965516771]",oblong
"[168.00297616411441, 150.02999700059985, 237.0, 106.4048871058092, 149.00335566691106, 80.0, 43.01162633521314, 64.02560603756868, 40.426078740099136, 282.2647737278924]",oblong
"[168.01190434013895, 146.00342461736986, 228.0, 105.47511554864494, 150.0133327407934, 81.00617260431454, 42.0, 67.69379494509236, 42.310229676849524, 279.1451433205667]",oblong
"[171.0730837975396, 146.01369798755184, 232.0, 119.85407794480753, 156.05127362504928, 80.30566605165541, 44.10215414239989, 69.30454926593673, 49.39870535499553, 281.30993247402023]",oblong
"[168.1071087134628, 151.00331122197287, 243.0, 104.00480758118829, 152.16109883935513, 80.02499609497022, 41.012193308819754, 65.89776549883887, 43.05191499348505, 283.9025476945229]",oblong
"[165.00303027520434, 148.0135128966271, 229.0, 101.86265262597475, 148.00337833982033, 74.00675644831355, 37.0, 66.03751102542181, 43.40885972880541, 279.9422197948035]",oblong
"[158.07909412695912, 144.05554484295286, 227.0, 107.48953437428223, 141.01418368376991, 72.02777242147643, 37.05401462729781, 68.45902408146156, 45.75384833307077, 287.3908956595499]",oblong
"[164.01219466856725, 146.00342461736986, 241.0, 109.71326264403953, 145.08618128546908, 77.05841939723393, 40.0, 69.14554196042165, 47.58579434242449, 277.97445467919783]",oblong
"[156.05127362504928, 143.0034964607509, 233.0, 108.18964830333815, 140.00357138301865, 78.02563681252464, 41.0, 65.13630342824813, 44.62552311327717, 278.2941556768092]",oblong
"[172.14238292762187, 148.03040228277433, 234.0, 119.20570456148481, 153.05227865013967, 77.64663547121665, 43.289721643826724, 70.4268741695898, 49.76364169072618, 283.8429761778816]",oblong
"[177.01129907438113, 149.0, 238.0, 119.20151005754919, 158.2024020045208, 89.20201791439474, 49.040799340956916, 74.35775354279127, 52.84170321510306, 287.16945421278956]",oblong
"[170.42300314218147, 147.03060905811415, 246.0, 117.80067911519016, 157.2768260107, 82.87339742040264, 43.41658669218482, 75.37912601136834, 52.93555037008882, 277.6484778395226]",oblong
"[159.02829936838285, 141.00354605470034, 228.0, 100.4987562112089, 143.0873858870865, 80.09993757800315, 42.01190307520001, 72.40757543781841, 47.41950921665633, 274.0486660695597]",oblong
"[171.0730837975396, 144.0, 230.0, 114.02192771568107, 154.00324671902212, 79.00632886041473, 43.0, 67.96377305985455, 48.19953970956257, 286.6838731332187]",oblong
"[171.10523077919038, 145.01379244747721, 229.0, 116.27553482998907, 157.00318468107582, 82.21921916437786, 43.04648650006177, 70.4268741695898, 49.18491612511841, 277.8237107318853]",oblong
"[172.01162751395617, 151.0, 229.0, 107.29864864013899, 151.21177202850313, 80.15609770940699, 42.04759208325728, 61.606980578617005, 39.32697786007468, 285.1603248096072]",oblong
"[160.0124995117569, 140.0142849854971, 237.0, 109.04127658827184, 154.01298646542764, 84.00595217006948, 44.0, 64.59228189105153, 42.02626891751989, 275.69496502716953]",oblong
"[165.10905486980417, 143.0034964607509, 244.0, 110.63453348751464, 153.11760186209813, 80.09993757800315, 42.01190307520001, 59.47029410006588, 40.601294645004465, 276.91122711902466]",oblong
"[174.0258601472781, 149.05368160498418, 245.0, 112.0044641967453, 164.43843832875572, 84.5931439302264, 43.18564576337837, 56.659292653522996, 37.38145351243106, 280.1396561671771]",oblong
"[161.01242188104618, 144.05554484295286, 218.0, 99.72462083156798, 144.01388821915754, 75.0, 39.01281840626232, 68.45902408146156, 46.21887523513129, 283.5531878481106]",oblong
"[171.04677722775136, 150.02999700059985, 236.0, 106.77546534667971, 153.11760186209813, 81.05553651663777, 41.048751503547585, 68.19859051364818, 45.379436701418975, 277.69449515216957]",oblong
"[178.07021087200408, 155.11608556174951, 239.0, 119.60351165413162, 153.0294089382822, 72.17340230306452, 38.05259518088089, 64.59228189105153, 47.37184218978922, 285.40953043835106]",oblong
"[160.11246047700348, 144.0, 222.0, 104.6900186264192, 145.0551619212498, 74.0, 38.01315561749642, 67.16634582208245, 46.54815769897797, 279.2726017772003]",oblong
"[171.10523077919038, 143.0314650697531, 236.0, 96.26006440887103, 153.55129436120035, 85.28774824088158, 44.04543109109048, 61.50436138175502, 34.845733419799735, 286.5336275893872]",oblong
